"","OrganismList","Limb_width","Limb_length","ObserverList"
"39","Ambystoma mexicanum",10.494379804004,28.0864690989256,"Don Henley"
"40","Cynops pyrrhogaster",7.34541165130213,34.0518649294972,"Joe Walsh"
"41","Pseudotriton ruber",2.3498838506639,17.0367863494903,"Glenn Frey"
"42","Ambystoma mexicanum",1.69937571324408,12.7724579162896,"Joe Walsh"
"43","Pseudotriton ruber",13.1264520809054,21.8426954280585,"Glenn Frey"
"44","Ambystoma tigrinum",1.37618763325736,14.8449551686645,"Joe Walsh"
"45","Ambystoma tigrinum",4.08023365307599,17.0207571145147,"Glenn Frey"
"46","Ambystoma maculatum",7.85722940973938,37.7162379492074,"Joe Walsh"
"47","Ambystoma mexicanum",4.48808553442359,9.0759411919862,"Joe Walsh"
"48","Ambystoma mexicanum",2.83690682705492,11.6807300038636,"Don Henley"
"49","Ambystoma mexicanum",10.5030068000779,18.937808945775,"Don Henley"
"50","Cynops pyrrhogaster",11.2056641480885,6.80658563971519,"Glenn Frey"
"51","Cynops pyrrhogaster",1.35796698182821,29.4393649324775,"Glenn Frey"
"52","Ambystoma maculatum",4.75244846520945,40.9856985509396,"Joe Walsh"
"53","Cynops pyrrhogaster",3.03807298326865,30.9978047013283,"Joe Walsh"
"54","Ambystoma maculatum",12.0591056104749,40.2210007794201,"Joe Walsh"
"55","Ambystoma maculatum",7.34352993918583,13.4751021303236,"Don Henley"
"56","Ambystoma tigrinum",7.31323676928878,10.6258806213737,"Don Henley"
"57","Cynops pyrrhogaster",6.56663235649467,25.9950806573033,"Don Henley"
"58","Pseudotriton ruber",1.74170405277982,18.2958363741636,"Glenn Frey"
"59","Ambystoma tigrinum",1.56295850174502,32.7631171792746,"Don Henley"
"60","Ambystoma maculatum",4.46430916478857,20.6767334509641,"Glenn Frey"
"61","Ambystoma maculatum",3.54395132279024,17.9711638763547,"Joe Walsh"
"62","Ambystoma tigrinum",10.3367298156954,14.3715847842395,"Glenn Frey"
"63","Cynops pyrrhogaster",9.1474969307892,10.4099589586258,"Joe Walsh"
"64","Ambystoma tigrinum",14.9522125967778,35.7539170328528,"Joe Walsh"
"65","Cynops pyrrhogaster",9.72255506133661,13.6511345207691,"Joe Walsh"
"66","Cynops pyrrhogaster",11.7272009141743,23.9314268436283,"Joe Walsh"
"67","Ambystoma tigrinum",13.2827007481828,43.4036325197667,"Don Henley"
"68","Ambystoma maculatum",5.40135120600462,27.7955402992666,"Glenn Frey"
"69","Ambystoma maculatum",1.63186811842024,32.3600772861391,"Glenn Frey"
"70","Ambystoma mexicanum",14.7704954571091,43.0336146522313,"Joe Walsh"
"71","Cynops pyrrhogaster",12.8960288604721,17.8459067456424,"Joe Walsh"
"72","Ambystoma mexicanum",5.8268337068148,28.3571025542915,"Don Henley"
"73","Pseudotriton ruber",11.4613800100051,20.8175131306052,"Don Henley"
"74","Pseudotriton ruber",7.51212659291923,44.9416078161448,"Don Henley"
"75","Ambystoma mexicanum",2.42388064973056,6.29147471860051,"Don Henley"
"76","Pseudotriton ruber",3.2085971175693,17.0189471822232,"Don Henley"
"77","Pseudotriton ruber",11.2052944214083,28.7176292203367,"Don Henley"
"78","Cynops pyrrhogaster",9.00077107083052,8.07533415965736,"Don Henley"
"79","Cynops pyrrhogaster",12.1183532238938,35.7511666044593,"Glenn Frey"
"80","Cynops pyrrhogaster",9.26736321626231,34.9863470811397,"Joe Walsh"
"81","Ambystoma maculatum",11.5900440048426,26.7626941110939,"Don Henley"
"82","Ambystoma mexicanum",11.4864425184205,10.6092325039208,"Don Henley"
"83","Ambystoma mexicanum",14.9203461408615,12.75027169846,"Glenn Frey"
"84","Ambystoma mexicanum",9.29431940289214,38.5524725820869,"Don Henley"
"85","Pseudotriton ruber",10.4423422128893,10.050006210804,"Don Henley"
"86","Pseudotriton ruber",12.3265543798916,34.401236679405,"Glenn Frey"
"87","Cynops pyrrhogaster",12.740482551977,17.924154130742,"Don Henley"
"88","Cynops pyrrhogaster",6.48137008072808,27.977893743664,"Glenn Frey"
"89","Ambystoma tigrinum",7.29529888415709,28.4782691020519,"Joe Walsh"
"90","Cynops pyrrhogaster",3.91774567775428,38.5806641262025,"Don Henley"
"91","Ambystoma tigrinum",10.7536811209284,15.3676642570645,"Glenn Frey"
"92","Cynops pyrrhogaster",9.98157888604328,32.1838438510895,"Joe Walsh"
"93","Ambystoma tigrinum",12.1460280022584,37.7839019335806,"Glenn Frey"
"94","Ambystoma mexicanum",5.07924729818478,21.0308035742491,"Glenn Frey"
"95","Ambystoma mexicanum",2.29928411450237,11.8976977653801,"Joe Walsh"
"96","Ambystoma mexicanum",9.75808449275792,41.785900015384,"Glenn Frey"
"97","Cynops pyrrhogaster",6.21863763593137,21.1732962261885,"Joe Walsh"
"98","Pseudotriton ruber",11.4669270510785,34.9040430504829,"Don Henley"
"99","Ambystoma maculatum",5.0385430296883,38.8088238146156,"Don Henley"
"100","Cynops pyrrhogaster",10.3790475940332,40.6295668892562,"Glenn Frey"
